Name,Website,Status,Program Category,Primary Location (City),Primary Location (Country),Description (SOSV),FA Code,Pre-Embed
Klonabiotech,klonabiotech.com,Operating,IndieBio,London,United Kingdom,3D bioprinting for the tissues that need it most: mechanically demanding tissues which make up 7 of the 8 most transplanted tissues,IBNY25H209,"Klonabiotech is based in London, United Kingdom. Description: 3D bioprinting for the tissues that need it most: mechanically demanding tissues which make up 7 of the 8 most transplanted tissues"
Terabora,terabora.com,Operating,HAX,,,TeraBora is a worm inspired digging robot for ground source heat pump installation in every home,HAX250912,"Terabora is based in , . Description: TeraBora is a worm inspired digging robot for ground source heat pump installation in every home"
Januslabs,januslabs.com,Operating,IndieBio,Los Angeles,United States,"The first neuro-AI platform for pets to detect invisible signs of illness, stress, and cognitive decline before symptoms appear.",IBNY25H206,"Januslabs is based in Los Angeles, United States. Description: The first neuro-AI platform for pets to detect invisible signs of illness, stress, and cognitive decline before symptoms appear."
primarybioscience.com,primarybioscience.com,Operating,IndieBio,Seattle,United States,"Delivering the first high throughput, high coverage de novo protein sequencing instrument.",IBNY25H207,"primarybioscience.com is based in Seattle, United States. Description: Delivering the first high throughput, high coverage de novo protein sequencing instrument."
Sabletherapeutics,sabletherapeutics.com,Operating,IndieBio,New York,United States,Furthering the biotech and beauty industry by developing a line of slimming creams to target unwanted subcutaneous fat ,IBNY25H208,"Sabletherapeutics is based in New York, United States. Description: Furthering the biotech and beauty industry by developing a line of slimming creams to target unwanted subcutaneous fat "
Circadian Os,circadian-os.com,Operating,IndieBio,New York,United States,"Our subscription software, Circadian OS, uses light-based clock gene therapy to prime the immune system for increased efficacy of immuno-oncology drug without risk for toxicity.",IBNY25H205,"Circadian Os is based in New York, United States. Description: Our subscription software, Circadian OS, uses light-based clock gene therapy to prime the immune system for increased efficacy of immuno-oncology drug without risk for toxicity."
Anomer Bio,anomer.bio,Operating,IndieBio,London,United Kingdom,"Anomer Bio is London-based biotech start up developing chemically modified monosaccharides to reverse fibrosis and modulate in immunity in soild cancers, autoimmune disease, fibrosis, and neurodegenerative disorders.",IBNY25H204,"Anomer Bio is based in London, United Kingdom. Description: Anomer Bio is London-based biotech start up developing chemically modified monosaccharides to reverse fibrosis and modulate in immunity in soild cancers, autoimmune disease, fibrosis, and neurodegenerative disorders."
Deeprootbio,deeprootbio.com,Operating,IndieBio,Towson,United States,Delivering custom-engineered microbes directly to plant roots for more sustainable phytomining and agricultural practices.,IBNY25H202,"Deeprootbio is based in Towson, United States. Description: Delivering custom-engineered microbes directly to plant roots for more sustainable phytomining and agricultural practices."
Iorgan,iorgan.bio,Operating,IndieBio,Durham,United States,"iOrganBio's CellForge Platform transforms the way we create human cells—enabling reproducible, scalable, and intelligent cell manufacturing for in vitro modeling and cell therapies.",IBNY25H203,"Iorgan is based in Durham, United States. Description: iOrganBio's CellForge Platform transforms the way we create human cells—enabling reproducible, scalable, and intelligent cell manufacturing for in vitro modeling and cell therapies."
Moonlight Therapeutics,moonlighttx.com,Operating,IndieBio,Atlanta,United States,Pioneering the development of a novel intradermal therapy to eliminate childhood food allergies.,IBNY25H201,"Moonlight Therapeutics is based in Atlanta, United States. Description: Pioneering the development of a novel intradermal therapy to eliminate childhood food allergies."
